name,description,image,release_date,popularity,tags
Ant-Man,|Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.|,/D6e8RJf2qUstnfkTslTXNTUAlT.jpg,2015-07-17,54.222073,Science Fiction,Action,Adventure
Jurassic World,|Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.|,/jjBgi2r5cRt36xF6iNUEhzscEcb.jpg,2015-06-12,29.552849,Action,Adventure,Science Fiction,Thriller
The Hunger Games: Mockingjay - Part 2,|With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.|,/nN4cEJMHJHbJBsp3vvvhtNWLGqg.jpg,2015-11-19,24.140235,Drama,Adventure,Action
Star Wars: Episode VII - The Force Awakens,A continuation of the saga created by George Lucas and set thirty years after Star Wars: Episode VI - Return of the Jedi (1983).,/fYzpM9GmpBlIC893fNjoWCwE24H.jpg,2015-12-18,23.218298,Action,Adventure,Science Fiction,Fantasy
Fantastic Four,|Four young outsiders teleport to a dangerous universe, which alters their physical form in shocking ways. Their lives irrevocably upended, the team must learn to harness their daunting new abilities and work together to save Earth from a former friend turned enemy.|,/g23cs30dCMiG4ldaoVNP1ucjs6.jpg,2015-08-07,23.004453,Action,Adventure,Science Fiction
Terminator Genisys,|The year is 2029. John Connor, leader of the resistance continues the war against the machines. At the Los Angeles offensive, John's fears of the unknown future begin to emerge when TECOM spies reveal a new plot by SkyNet that will attack him from both fronts; past and future, and will ultimately change warfare forever.|,/5JU9ytZJyR3zmClGmVm9q4Geqbd.jpg,2015-07-01,21.656119,Science Fiction,Action,Thriller,Adventure
Spectre,|A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.|,/mSvpKOWbyFtLro9BjfEGqUw5dXE.jpg,2015-10-26,19.804546,Action,Adventure,Crime
Minions,|Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.|,/q0R4crx2SehcEEQEkYObktdeFy.jpg,2015-07-10,19.625089,Family,Animation,Adventure,Comedy
Interstellar,Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,2014-11-05,17.278866,Drama,Science Fiction
Mad Max: Fury Road,|An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.|,/kqjL17yufvn9OVLyXYpvtyrFfak.jpg,2015-05-15,16.551553,Thriller,Action,Adventure
Ted 2,|Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.|,/A7HtCxFe7Ms8H7e7o2zawppbuDT.jpg,2015-06-26,16.317058,Comedy
